MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14569.92309,,12411.22148,,8152.209649,,2834.160284,,-1372.443826,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11838.83235,,10150.16739,,6223.904246,,1120.690273,,-2256.270157,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,785.0866924,,802.562595,,664.6986997,,539.7071341,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49868.68092,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.13718,,9743.207983,,8908.056002,,7965.201744,,7188.532243,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CH4,Mt CH4/yr,348.9808039,366.9965737,,241.9298486,,202.1914492,,185.6917943,,170.6248439,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,35588.85028,,28629.64732,,20458.09651,,13660.18775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33502.62046,,31159.02379,,25037.69919,,18231.79904,,12743.98597,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19248.80728,,19220.18892,,15075.05959,,10100.64638,,,,,,,,,,
